,equations,Solution
3304,x=14/(20+15)*30,12
3305,x=180*(3/4)*(1/3),45
3306,x=105*4-1220*25%,115
3307,x=72/(80/8-1)*(80/5-1),120
3308,x=[600*(1-(1/3))-150]/2/(1-75%),500
3309,x=360/2*6-360,720
3310,x=4/((1/2)-(1/3)),24
3311,x=360/60-360/90,2
3312,x=21+27-18,30
3313,x=1/((2/5)/4),10
3314,x=280/(1-(2/7)*3),1960
3315,x=360/20%,1800
3316,x=243/(1-(5/8)),648
3317,x=380*(3/19),60
3318,x=40/5*(3+4+5)/(1-(1/5)),120
3319,x=25*14*5,1750
3320,x=3.6*120/[3.6*(1-20%)],150
3321,x=(2005/2006)-(1/2006),((1002)/(1003))
3322,x=12*45/9,60
3323,x=10*8*6-6*6*6,264
3324,x=12/30,((2)/(5))
3325,x=3.14*15*15,706.5
3326,x=482.13/(100-1),4.87
3327,x=3/(1-(1/6)-(1/4))*(1/6),((6)/(7))
3328,x=14*(1-(2/7)),10
3329,x=200-(135+48),17
3330,x=(2000/5)/(1500/3/4),3.2
3331,x=25-1000/50,5
3332,x=(27-18)/((1/2)-20%),30
3333,x=1.4-0.1,1.3
3334,x=(8040-14*420)/18,120
3335,x=289+118+289,696
3336,x=472.5/(45*3),3.5
3337,x=1-82%,18%
3338,x=125*(1+10%),137.5
3339,x=15+18-25,8
3340,x=(400-320)/400,((1)/(5))
3341,x=(73-10)/7,9
3342,x=680/(1+(1/3)),510
3343,x=500/(2000+500),20%
3344,x=(48+54)*4.5,459
3345,x=25*125*96,300000
3346,x=20.4/4,5.1
3347,x=45.6*4.2/3.6,53.2
3348,x=(1/16)*2,((1)/(8))
3349,x=456/(2+1),152
3350,x=48*2+10+48,154
3351,x=(2400-2000)*5%,20
3352,x=460/(80+35),4
3353,x=400/5,80
3354,x=220/(1-(2/15)-(2/15)),300
3355,x=3.14*20*50,3140
3356,x=(14-4)/2,5
3357,x=(7/8)*20%/(14/15),((3)/(16))
3358,x=28/(1+(1/6)),24
3359,x=(9/10)*((4/9)/(2/5)),1
3360,x=9+18-1-1,25
3361,x=(292+98)/(15*26),1
3362,x=630*(1+4.8%),660.24
3363,x=(38+22)/(1/3),180
3364,x=24/(3/8),64
3365,x=3/((1)/(1+4)),15
3366,x=7.5/2.5,3
3367,x=32/4,8
3368,x=(2/3)/4,((1)/(6))
3369,x=4050/5-6000/12,310
3370,x=25*2*4,200
3371,x=120*12%,14.4
3372,x=(3000-600)*((5)/(3+5)),1500
3373,x=4/(1/150),600
3374,x=(2/3)-(3/5),((1)/(15))
3375,x=24.5+2.3*(46-4),121.1
3376,x=44*(1/(1/2))/(4/5),110
3377,x=25/((5/6)-(4/5))*(5/6),625
3378,x=(2640-240)/(240/3),30
3379,x=60/24,2.5
3380,x=(9.7+2)/1.5,7.8
3381,x=120/15%,800
3382,x=1200/(25+5),40
3383,x=3600*(1/3)/20,60
3384,x=240*5,1200
3385,x=3.42*76.3+7.63*57.6+9.18*23.7,918
3386,x=14.85-(0.75+1.25),12.85
3387,x=30/(3/4),40
3388,x=75/(3/5)+75,200
3389,x=180*0.85,153
3390,x=5000+5000*3.14%*5,5785
3391,x=400-(170+80),150
3392,x=200*7.5/(7.5+4.5),125
3393,x=5+8+2+1,16
3394,x=38.5/7,5.5
3395,x=(42.5*1.8-8.5)+42.5,110.5
3396,x=42*39,1638
3397,x=(75-25)/(25/5),10
3398,x=20-20*(1/5),16
3399,x=1500*98%,1470
3400,x=(120-80)/80,50%
3401,x=400*(1+(1/5)),480
3402,x=180/(24/(2/3)),5
3403,x=20-20*75%,5
3404,x=(80-30-30)*110,2200
3405,x=570/38%,1500
3406,x=30+30*4,150
3407,x=80/(1/7),560
3408,x=3.8*680/(3.8-0.4)-680,80
3409,x=141*5+95,800
3410,x=(114+166)/35,8
3411,x=200-25+20,195
3412,x=600/(1+20%),500
3413,x=(0.2*8+0.4*4+0.8)*(1+150%),10
3414,x=17+12,29
3415,x=72*(8/9)/(4/5),80
3416,x=38+15,53
3417,x=6/(5/12),14((2)/(5))
3418,x=174/58,3
3419,x=(140-86)/6,9
3420,x=280/14,20
3421,x=1/12,((1)/(12))
3422,x=1.2/((1/3)-25%),14.4
3423,x=2.5+2.4-2,2.9
3424,x=96/(1-40%)/(1-20%),200
3425,x=60/(1/4)+60,300
3426,x=106*(4+1),530
3427,x=(1840-1200)*5%,32
3428,x=352/[(3/4)-(1-(4/5))],640
3429,x=5/6,((5)/(6))
3430,x=10+1,11
3431,x=60/((1/5)-(1/6)),1800
3432,x=36*(5/6)*(4/5),24
3433,x=76*20,1520
3434,x=44-11-13,20
3435,x=16/2-1,7
3436,x=554+287+313,1154
3437,x=(540+20)/2,280
3438,x=(280-20*5)/(20+10),6
3439,x=(35*(1/7)+5)/(35+5),((1)/(4))
3440,x=864/(12*8),9
3441,x=(30+10+10*2)/(1-(1/5)-(1/5)*2),150
3442,x=1/25%,4
3443,x=3400/(3400+600),((17)/(20))
3444,x=(420+380)/((2/3)-50%),4800
3445,x=(52+148)*35,7000
3446,x=(150*(2/5)/(4/3))/150,30%
3447,x=280/35%,800
3448,x=96*(3/4)+96,168
3449,x=200*(1/10),20
3450,x=10/50,((1)/(5))
3451,x=450/(1+1+(1/4))*(1+(1/4)),250
3452,x=1000*((3)/(15+2+3))-50,100
3453,x=63*12+240,996
3454,x=(18+2)/4,5
3455,x=15*8/(15+5),6
3456,x=120/(1-(3/10)-(2/5)),400
3457,x=6/(40%+75%-1),40
3458,x=10*(1-(1/5)),8
3459,x=2/(4-3)*3,6
3460,x=(1-(2/5))/((2/5)/6),9
3461,x=(1/2)/(15/4)-1/((14/5)*4.5),((17)/(315))
3462,x=45*(1+(2/5)),63
3463,x=5600/40/20,7
3464,x=1120/(1-(2/7)),1568
3465,x=(20+200)/(1-25%-25%),440
3466,x=8-(1/5),7.8
3467,x=15.8-5-(5+0.7),5.1
3468,x=45/(5/8)/(3/8),192
3469,x=3.14*2,6.28
3470,x=42/(6/7),49
3471,x=202*11,2222
3472,x=147*7,1029
3473,x=1250/(5*25),10
3474,x=450*(1-74%),117
3475,x=(1/9)*3,((1)/(3))
3476,x=(1380-31.5*20)/60,12.5
3477,x=8/(8+4),((2)/(3))
3478,x=1500*98%,1470
3479,x=150*2/(2+3),60
3480,x=4/[1-(1/3)-(1/5)-((1/3)+(1/5))*75%],60
3481,x=16-24*(1/3),8
3482,x=15*(1-(2/5)-30%),4.5
3483,x=(180*2%+240*9%)/9%+240,520
3484,x=120*(2/3),80
3485,x=120*3-20,340
3486,x=8/((1/2)-(1/3)),48
3487,x=(4/5)*(1/5),((4)/(25))
3488,x=96*(1/10)*(1/10),0.96
3489,x=(4-(1/4))*(3/5),((9)/(4))
3490,x=48/(1-20%),60
3491,x=15000+15000*(1+(1/4)),33750
3492,x=10-6.05,3.95
3493,x=2/(1/4),8
3494,x=(95+87+92+100+96)/5,94
3495,x=1884/(3.14*0.6),1000
3496,x=(5292/36)*(1370-1080),42630
3497,x=325/(1-(1/6)),390
3498,x=(17/3),5((2)/(3))
3499,x=2100*(1-30%),1470
3500,x=480/3.2-72,78
3501,x=22*32,704
3502,x=960/(1+3),240
3503,x=48/(3/5)*3,240
3504,x=410-154-172,84
3505,x=1/(1/6),6
3506,x=(850-18)/26,32
3507,x=8*7+5,61
3508,x=200/(3/4)+200,466((2)/(3))
3509,x=65*(10-2)/(75-65)*75,3900
3510,x=(20-4)/(5/8),((128)/(5))
3511,x=(600-60)/36,15
3512,x=4*4,16
3513,x=45/5,9
3514,x=273/3*20,1820
3515,x=216*(3/8),81
3516,x=13.6/(6.8/4)+4,12
3517,x=8*(1+(1/8)),9
3518,x=24/(4-1)*(6-1),40
3519,x=30/(1-40%),50
3520,x=(2/15)/(2/5),((1)/(3))
3521,x=12*(3/4),9
3522,x=1200/80%,1500
3523,x=(18+25)*40,1720
3524,x=680/0.85-680,120
3525,x=56*(5/8),35
3526,x=23*3+23-18,74
3527,x=24060/(38+22),401
3528,x=(59+37)*(7/8),84
3529,x=50/(1/28)/(1/32),44800
3530,x=3.14*5,15.7
3531,x=(40+25)/5,13
3532,x=9*(1-(1/3)),6
3533,x=80/(3.9+2.5),12.5
3534,x=1000/(2/11),5500
3535,x=300/(12%+18%),1000
3536,x=10/[1-(1+20%)*0.8],250
3537,x=(21+1)/(1-(1/3)),33
3538,x=40-40*16%/20%,8
3539,x=9/(1/4)/(9/7),28
3540,x=10*(4/5),8
3541,x=120/[(2/5)+(1-(2/5))*(1/3)],200
3542,x=(65+5+65)*4.8,648
3543,x=50000+50000*2.7%*2,52700
3544,x=36+36/6,42
3545,x=800*(1-0.8),160
3546,x=14*7,98
3547,x=10*5/(5-3),25
3548,x=120*(1-20%),96
3549,x=0.33*5.2,1.716
3550,x=(28*15)/(28+2),14
3551,x=2400*(1+(3/5)),3840
3552,x=840-56*15,0
3553,x=(98-12)*2,172
3554,x=14+20-26,8
3555,x=(48/3)/40%,40
3556,x=1460-22*18,1064
3557,x=60*(3/4)+4,49
3558,x=2008.8*2008.5,4034674.8
3559,x=1.09+1.7+1.09,3.88
3560,x=6*(5-1),24
3561,x=500*0.85,425
3562,x=120*(20%+40%),72
3563,x=7+7+3,17
3564,x=36+55-80,11
3565,x=80*16*25*125,4000000
3566,x=(195-35*2)/5,25
3567,x=(32+28)/3,20
3568,x=51/(1-(3/20)),60
3569,x=3.46+0.87-0.13,4.2
3570,x=3.14*[(2+1)^2-2^2],15.7
3571,x=125*8-25,975
3572,x=(3/5)+0.9+(1/2),2
3573,x=546-168,378
3574,x=520/5*(5+8),1352
3575,x=1000+1000*3.20%*5*(1-5%),1152
3576,x=120/(1-(3/5)),300
3577,x=3240/(3240/75+1.8),72
3578,x=60*(1-10%),54
3579,x=1-(1/15+1/12)*4,((2)/(5))
3580,x=3116.1/(1+3.87%*1),3000
3581,x=60*14/(60+10),12
3582,x=25/(25+100),((1)/(5))
3583,x=500/(12-7)-1,99
3584,x=[(15-4.5)-1.5*3]/3,2
3585,x=50*98%,49
3586,x=96/6/8,2
3587,x=65*(1-(2/5)),39
3588,x=(21+27)/4,12
3589,x=630/(1-(1/10)),700
3590,x=180/(20-2),10
3591,x=140/(1-(1/6)-25%),240
3592,x=30/(1/3)/(6/7),105
3593,x=21-(21-15)/(1/3),3
3594,x=700/(1-(5/7)),2450
3595,x=(290-20*4)/30,7
3596,x=180/(1-(1/4)-(1/5)),327((3)/(11))
3597,x=(2011-9)/0.7/1.1,2600
3598,x=1980/(1-10%),2200
3599,x=450-80*3,210
3600,x=21.6/(21.6/45+0.12),36
3601,x=1.6/2*1.5,1.2
3602,x=1/(20%/3)-3,12
3603,x=(60*1.5)/(5/9),162
3604,x=100-(12.50+55.62),31.88
3605,x=54/[1-(1/5)-(1-(5/7))],105
3606,x=(66+34)*52,5200
3607,x=360*2/(3+2),144
3608,x=3.14*2^2*0.5,6.28
3609,x=3000*(1-(1/10))*0.65,1755
3610,x=(84*(3/4)-58)/((3/4)-(5/8)),40
3611,x=180*(1-30%),126
3612,x=45/[1-(3/8)-(1-(3/8))*(2/5)],120
3613,x=80/91,((80)/(91))
3614,x=45/(54-45),5
3615,x=32*300/48,200
3616,x=127.8-48.9-30.6,48.3
3617,x=((2/5)+(2/5))/(1/2),1((3)/(5))
3618,x=360/(2/5)*(3/4),675
3619,x=(6/1.2)*(6/1.5),20
3620,x=(8-5)/8,((3)/(8))
3621,x=680*(1-5%),646
3622,x=32.5+(32.5-0.5)/4,40.5
3623,x=72/0.6*0.8,96
3624,x=36*(1-(8/9)),4
3625,x=6000*5%,300
3626,x=60-60*(2/5),36
3627,x=(220+130)/(4+3),50
3628,x=1/(2/5),((5)/(2))
3629,x=(5/7)/(1-(5/7)),((5)/(2))
3630,x=600/(1+(1/4)),480
3631,x=40*3+10,130
3632,x=600*3+45+600,2445
3633,x=1.24*15-1.24*9.2,7.192
3634,x=5/(1/6)-5,25
3635,x=4+7,11
3636,x=(3/4)-(1/5)+(1/15),((37)/(60))
3637,x=600/(1+20%),500
3638,x=80*80,6400
3639,x=240/(3+1),60
3640,x=56*(5/8),35
3641,x=40*3+40,160
3642,x=(200-12.5-50)/2.5,55
3643,x=1/(1/6),6
3644,x=8*24-13*12,36
3645,x=20.4/(84-75.5)*(84+75.5),382.8
3646,x=857-569+300,588
3647,x=405.65-135.65+405.65,675.65
3648,x=3.12,3((3)/(25))
3649,x=14*5+2,72
3650,x=(37-7)/2,15
3651,x=597-209+420,808
3652,x=3600-(3600-800)*14%,3208
3653,x=24/3+9,17
3654,x=145*15+120*32,6015
3655,x=120*4+56,536
3656,x=800*(1-16%)/(1-20%)-800,40
3657,x=4*2*3/8*(8-5),9
3658,x=(0.28*12+11.2)/(0.28-0.24),364
3659,x=12900/3%,430000
3660,x=(1470-50*24)/30,9
3661,x=(2500-50*30)/40,25
3662,x=240/5+1,49
3663,x=280-25*8,80
3664,x=(75+65)*[40/(75-65)],560
3665,x=30/(1+(1/5)),25
3666,x=(62.5+77.2)*10,1397
3667,x=2.2*800/(2.2-0.2),880
3668,x=(24-6)/6,3
3669,x=588/28,21
3670,x=(14+6)/(1-(1/3))/(1-(2/7)),42
3671,x=1884/(3.14*0.75*50),16
3672,x=5*(3/4),((15)/(4))
3673,x=1200*(1/8)*(1/3),50
3674,x=15/(1-40%),25
3675,x=285/95%,300
3676,x=(118+135)*6,1518
3677,x=6*(6-1)/2,15
3678,x=24/4,6
3679,x=360/40,9
3680,x=(12-4.8)/4,1.8
3681,x=24*10/20,12
3682,x=200/(1+25%),160
3683,x=80/(1-(1/11)),88
3684,x=60/(((2)/(2+3))-(1/4)),400
3685,x=3.6+3.6/(1+(1/5)),6.6
3686,x=436/4,109
3687,x=74.8/(1-12%),85
3688,x=12000/(1-(1/5)),15000
3689,x=10*(17-1)*5,800
3690,x=768/8/4,24
3691,x=(390+60)/(3/7),1050
3692,x=(600+200)/10,80
3693,x=5800*(1-20%),4640
3694,x=6/10,((3)/(5))
3695,x=93*4-58,314
3696,x=5200*0.85,4420
3697,x=168/(1-(3/10)-35%),480
3698,x=12/(1-25%),16
3699,x=(2100-100)/8,250
3700,x=570+570/3,760
3701,x=(1.2-0.08)/2,0.56
3702,x=800/20,40
3703,x=80/16*80,400
3704,x=40/(120+40),25%
3705,x=2-(1/5)+(4/5),2((3)/(5))
3706,x=700-239-261,200
3707,x=864/8,108
3708,x=880/4,220
3709,x=50-(29+26-10),5
3710,x=240*24+240,6000
3711,x=9/300,((3)/(100))
3712,x=(42+40)*(1/2),41
3713,x=6*76+8*98,1240
3714,x=(4/5)/8,((1)/(10))
3715,x=((3/4)+3)/(1-(2/5)),6.25
3716,x=56*3/2,84
3717,x=2/5,((2)/(5))
3718,x=36*18,648
3719,x=50*10%,5
3720,x=(1/2)+(2/4)+(1/3)+(6/9)+(1/4)+(9/12),3
3721,x=250*4*9,9000
3722,x=15/(20%+30%),30
3723,x=(28-10)/(1-40%-40%),90
3724,x=400/(400+3600),10%
3725,x=9+12,21
3726,x=150/(3/4)*(9/5),360
3727,x=450*((8)/(1+8)),400
3728,x=20-(5*20-79)/(2+5),17
3729,x=20000*6.5%*1+20000,21300
3730,x=56/7*(7+2),72
3731,x=300*(1-20%)/(1-40%)-300,100
3732,x=80+30-65,45
3733,x=60*5/4,75
3734,x=20-140/10,6
3735,x=36+729+64,829
3736,x=52.8*8/105.6+8,12
3737,x=400/(100-50),8
3738,x=270/(42+48),3
3739,x=12.42/5.4*3.1,7.13
3740,x=1200/[((5)/(5+3))*(1+20%)]*((3)/(5+3))*60%,360
3741,x=26.8/4,6.7
3742,x=3-2.4,0.6
3743,x=48+15,63
3744,x=28*(1-(1/4)),21
3745,x=360/(8+1),40
3746,x=400*(1+20%)*0.8,384
3747,x=600*8%/6%-600,200
3748,x=70*5+50,400
3749,x=(137-11)/21,6
3750,x=0.65,0.650
3751,x=36/(1+3),9
3752,x=1-(2/5),((3)/(5))
3753,x=1620+25*32,2420
3754,x=12/(1-(5/9)),27
3755,x=4*6,24
3756,x=12*12*12/72,24
3757,x=1.78+(1.78+0.536),4.096
3758,x=355/2.5-69.4,72.6
3759,x=(130+10)*5+13,713
3760,x=180*(1/5),36
3761,x=248*125,31000
3762,x=80*15+10,1210
3763,x=10/((2/5)-(3/10)),100
3764,x=400/(1+(1/4)),320
3765,x=320*6+24,1944
3766,x=(60-8)/4,13
3767,x=40*30%+1.2,13.2
3768,x=(514386/937998),((17)/(31))
3769,x=96*3/(3-0.6),120
3770,x=(6/9)-(2/9),((4)/(9))
3771,x=(27-5)/40%,55
3772,x=6/(1-(1/3)-25%-(1/5)-(1/6)),120
3773,x=114/2+32,89
3774,x=(40+40+5.5)*4,342
3775,x=24/(1+(1/7)),21
3776,x=4.8-0.5+3.8,8.1
3777,x=(245+265)/5,102
3778,x=(720-90*4.5)/3,105
3779,x=1600*(1+30%),2080
3780,x=142*12,1704
3781,x=5*(1/7)/1,((5)/(7))
3782,x=7.09+1.49+7.09,15.67
3783,x=80/120,((2)/(3))
3784,x=(5-1)*2,8
3785,x=60*6/5,72
3786,x=(3/4)*5/(5/8),6
3787,x=(20+8)/((2/3)-(1/5)),60
3788,x=36/(40%+(1/5)),60
3789,x=1000*3-2700,300
3790,x=3*2*0.1,0.6
3791,x=500/25,20
3792,x=(10-1)*2,18
3793,x=20*8,160
3794,x=40/(8/9)/(5/6),54
3795,x=300/5,60
3796,x=(1/4)+(1/5),((9)/(20))
3797,x=120/(8/9),135
3798,x=18*(5/6),15
3799,x=(3/4)/(1/4),3
3800,x=150*(2/5),60
3801,x=508*5,2540
3802,x=12/(16/(2/5)-16)*(16+16/(2/5)),28
3803,x=882/98,9
3804,x=940*0.55-117,400
3805,x=(7.5+6.2)*2.3-27.46,4.05
3806,x=1500/(1-(1/4)),2000
3807,x=85/(5/6),102
3808,x=42/6*3,21
3809,x=56*8+7,455
3810,x=9/(1-0.85),60
3811,x=16*725,11600
3812,x=10*(1+(4/5)),18
3813,x=1-(2/5)-(2/7),((11)/(35))
3814,x=5*3,15
3815,x=(12-0.75)/7.5,1.5
3816,x=34+6+34,74
3817,x=240/3*(2+3),400
3818,x=130+180,310
3819,x=80-23-30,27
3820,x=120/(16-1),8
3821,x=40*(1-40%)-(1/2),23((1)/(2))
3822,x=115/5-119/7,6
3823,x=(40-12)/(4/5),35
3824,x=65*15/(15-2),75
3825,x=(3/8),0.375
3826,x=1.94-0.66+1.94,3.22
3827,x=20/[60%-(1-60%)],100
3828,x=45*30*(23-20),4050
3829,x=(580-74)/46,11
3830,x=75*14%,10.5
3831,x=160*5/(320+480),1
3832,x=4.5*(1-40%)-(2/5),2.3
3833,x=56*1.3,72.8
3834,x=5*6*2,60
3835,x=1-(1/3)-(3/8),((7)/(24))
3836,x=40*90/45,80
3837,x=(1-25%)/(25%/3),9
3838,x=24*25,600
3839,x=(420+140)/80,7
3840,x=3000*3.25%*2,195
3841,x=600/(3/4),800
3842,x=480/4-70,50
3843,x=320/20%-320,1280
3844,x=(2/3)*(3/5),((2)/(5))
3845,x=50*2+19,119
3846,x=450/(1-10%)-450,50
3847,x=20*(3/5),12
3848,x=(1350+4200)/3,1850
3849,x=(7+6-1)*(3+8-1),120
3850,x=60*3+50*2,280
3851,x=1-(1/3)-(1/6),((1)/(2))
3852,x=30*(1+(1/6)),35
3853,x=7*60+350,770
3854,x=30*10,300
3855,x=(58+20)/6-8,5
3856,x=56*[(1-(3/7))*(1-(3/8))*(1-(1/4))],15
3857,x=275*10+5+275,3030
3858,x=121/(0.5+0.6),110
3859,x=26.5*2.4+64*1.5,159.6
3860,x=3.14*20*40*8,20096
3861,x=30%,((3)/(10))
3862,x=1104/(1104-144),115%
3863,x=216/8,27
3864,x=48*(5/6)/40%,100
3865,x=9*6/0.3,180
3866,x=(150+60)*3,630
3867,x=70*16/560,2
3868,x=8*9,72
3869,x=450*(1-(3/5)),180
3870,x=12*(1+(1/3)),16
3871,x=106*5/(1-(3/5)),1325
3872,x=40.8*1.5-15,46.2
3873,x=296/4,74
3874,x=7*6,42
3875,x=(8/5)*25%,((2)/(5))
3876,x=56*75%,42
3877,x=(2*2+2*3+2*3)*2,32
3878,x=(12/5)-(3/4),((33)/(20))
3879,x=300/(1+(1/5)),250
3880,x=126/2*3-13,176
3881,x=36*(1-(1/3)),24
3882,x=14/(1-(1/4)-40%),40
3883,x=120/(2/3)+120,300
3884,x=16+3-6,13
3885,x=48*(5/8)+(7/3)/(7/9),33
3886,x=198/((5/6)-(2/9)),324
3887,x=15*16+15,255
3888,x=200/(((7)/(2+7))-((1)/(1+2)))*((1)/(1+2)),150
3889,x=(1070-85*7)/5,95
3890,x=23*18-200,214
3891,x=(80*2.5+68*0.5)/(2.5+0.5),78
3892,x=150/25%*40%,240
3893,x=(20-1)*5+3*20+50*2,255
3894,x=160*(1-75%)/(1/2)/(1-(1/3)),120
3895,x=640/8,80
3896,x=4*9,36
3897,x=(60-42)/3,6
3898,x=(1/2)/(2/3),((3)/(4))
3899,x=924/(1-(4/15)),1260
3900,x=(175+98)*25,6825
3901,x=6*5*2,60
3902,x=50*60%,30
3903,x=500*96%,480
3904,x=(35+26)*320,19520
3905,x=45/(75-60),3
3906,x=75.36/6,12.56
3907,x=1/(1-75%),4
3908,x=20*2.5+22*3,116
3909,x=2/40%,5
3910,x=190*15,2850
3911,x=260/(1+30%),200
3912,x=540/(1-60%),1350
3913,x=(23+25)/4,12
3914,x=100*28%/10%-100,180
3915,x=100/(8+12),5
3916,x=38+38*2,114
3917,x=36/(9/10),40
3918,x=(3/8)+(4/8),((7)/(8))
3919,x=800-250-375,175
3920,x=2400*(1-(1/10)),2160
3921,x=240*(1/4),60
3922,x=4*6/2+4*8/2,28
3923,x=2+1,3
3924,x=139-110,29
3925,x=3*(8-1),21
3926,x=228-165,63
3927,x=1890*((2)/(2+25)),140
3928,x=2500-2500*(1/10),2250
3929,x=4+5+1,10
3930,x=16*9/6,24
3931,x=2000*(1-99%)/(1-98%),1000
3932,x=1/(1/(1/6)+1/(1/7)),((1)/(13))
3933,x=(1/2)*(2/3),((1)/(3))
3934,x=60-56+30,34
3935,x=36/(1-20%),45
3936,x=460*0.85,391
3937,x=(2.4+(2/3))*15,46
3938,x=10/(5/8)*25%,4
3939,x=50*40%,20
3940,x=100*4+162,562
3941,x=630/3.5-96,84
3942,x=622+279,901
3943,x=150*(1-(1/5)),120
3944,x=150*(1-0.85),22.5
3945,x=360/(1-(2/5))*(1-(3/4)),150
3946,x=(17+31)/((3/5)+(4/7)-1),280
3947,x=50-(18.35+20.55+5.1),6
3948,x=9999*4444/6666/2222,3
3949,x=90/((5/8)-((2)/(3+2))),400
3950,x=650*(1-96%),26
3951,x=18*3-18,36
3952,x=6/[(3/4)-(1-(1/3))],72
3953,x=500*(1-(2/5))/2-80,70
3954,x=4.92+1.07,5.99
3955,x=540/3/72,2.5
3956,x=(32-2)*4,120
3957,x=128/(4*2),16
3958,x=(19-12)/(1/5),35
3959,x=26+28-8,46
3960,x=90*(1/3)/40,((3)/(4))
3961,x=360/(1-(2/7))-360,144
3962,x=60/(1+(1/5)),50
3963,x=(258+62)/20,16
3964,x=6*8/2,24
3965,x=96.64/32,3.02
3966,x=320/5*(5+2.5),480
3967,x=5000*3.25%*1,162.5
3968,x=4.8*10*85%,40.8
3969,x=(65-25)/(1-20%),50
3970,x=180/(1+(1/8)),160
3971,x=25/(1-(2/7)),35
3972,x=50-30.5+20.5,40
3973,x=4/200,((1)/(50))
3974,x=3360/(4*20),42
3975,x=31.4*20,628
3976,x=130-8*5,90
3977,x=3*2*1,6
3978,x=36*6,216
3979,x=75/5*18,270
3980,x=1*(4/7)/(1/7),4
3981,x=756/(70+56),6
3982,x=(50-4.4)/2.85,16
3983,x=(9/10)/(12*(6/5)+(3/5)),((3)/(50))
3984,x=32/80%,40
3985,x=45*(2/3),30
3986,x=201.6/72,2.8
3987,x=2500*0.8,2000
3988,x=3.14*0.6*30,56.52
3989,x=390*(1-40%),234
3990,x=1-(1/7)-(4/7),((2)/(7))
3991,x=(23+18)*3,123
3992,x=378/4-378/4.5,10.5
3993,x=(1/8)+((1/8)+(4/8)),((3)/(4))
3994,x=60/(1-5*(1/15)),90
3995,x=26.5*3%,0.795
3996,x=84/(3/8)/(4/7)*(1-(4/7)),168
3997,x=(48-28)/48,((5)/(12))
3998,x=7*150/6-150,25
3999,x=765*963963-765765*963,0
4000,x=350*40/(40-5),400
4001,x=120/(58-34),5
4002,x=(180/6-1)*1,29
4003,x=27+27/9*3,36
4004,x=36/4+36,45
4005,x=6-50*6/(50+25),2
4006,x=(3/4)+((3/4)-(1/12)),1((5)/(12))
4007,x=(780-60*7)/4,90
4008,x=20/(20+1000),((1)/(51))
4009,x=200/(15%+35%),400
4010,x=1600-740-370,490
4011,x=4500-3000+1200,2700
4012,x=300/50,6
4013,x=1-(1/6)-(1/3),((1)/(2))
4014,x=(71/9)+(4/3)+(71/9),17((1)/(9))
4015,x=3500-3500*0.85,525
4016,x=30+25-42,13
4017,x=60*(1+(2/3)),100
4018,x=10/(1-(1/3)),15
4019,x=500-(500-350)/(1/3),50
4020,x=368+287-395,260
4021,x=20*(300-210),1800
4022,x=24*(24*(5/12)),240
4023,x=3500-(3500-3000)*5%,3475
4024,x=7.8*(11+89)-609,171
4025,x=216/4/6,9
4026,x=38/95%,40
4027,x=400/(260-210),8
4028,x=4.05-2.45+4.05,5.65
4029,x=120*0.8,96
4030,x=30-(15.8+9.45),4.75
4031,x=(32.5*18+57.6)/18,35.7
4032,x=(800-700)+(1000-900),200
4033,x=72*4/(80-72)*80,2880
4034,x=5.9-0.6-4.8,0.5
4035,x=(6300-300)/60-54,46
4036,x=5*9*13,585
4037,x=(1800+1000)/2,1400
4038,x=200*(1-(5/8))+1,76
4039,x=75/(1-0.85),500
4040,x=3.6*2*10,72
4041,x=144*(1+(2/3)),240
4042,x=[(320+80)/(1-(3/8))-120]/(1-(2/7)),728
4043,x=30/20,1((1)/(2))
4044,x=(3/2)/(1/8),12
4045,x=12.5+23.6,36.1
4046,x=(1+1)/(1/15+1/10),12
4047,x=400*(4/5),320
4048,x=50-50*10%,45
4049,x=(38+16)*2,108
4050,x=6/4%-6,144
4051,x=(200*0.6-106.2)/(4+0.6),3
4052,x=200+200/4,250
4053,x=24*(1+(1/4)),30
4054,x=2100/(2100/10-35),12
4055,x=5*5*5/50,2.5
4056,x=280/7,40
4057,x=35+5-(35-5),10
4058,x=120*50+2000,8000
4059,x=(9/10)/(3/4)/2,((3)/(5))
4060,x=(10+2+10)*2,44
4061,x=39/(1-0.7),130
4062,x=45*20/10,90
4063,x=35/(7/2)/2,5
4064,x=28*8+26,250
4065,x=6/24,((1)/(4))
4066,x=(3500*1.5-250)/(5/6),6000
4067,x=6/(1-(1/5))/(1-(1/4))/(1-(1/3))/(1-(1/2)),30
4068,x=(70+50)*2/(60-50)*(70+60),3120
4069,x=(32+43)*2,150
4070,x=(8+12)/(1-(1/3)-(1/3)),60
4071,x=308-124,184
4072,x=4*6/8,3
4073,x=240/(1260+240),16%
4074,x=85/0.5-10.5,159.5
4075,x=300*2.8%*2,16.8
4076,x=124.8/2.6/6,8
4077,x=24/(2/9)-24,84
4078,x=57.24/(2.6+1),15.9
4079,x=(23.5-5*1.9)/5,2.8
4080,x=60*15/75,12
4081,x=27*5/9,15
4082,x=2160/[(24+30)*8],5
4083,x=(9+1)*0.8/0.4-1,19
4084,x=(800-40*2)/(40+50),8
4085,x=(1200-1000)*5%,10
4086,x=40*8/(60-40)*60,960
4087,x=60/(1+(1/4)),48
4088,x=[10/(((3)/(3+2))-((7)/(7+8)))]*((3)/(3+2)),45
4089,x=30*6/4,45
4090,x=52*18,936
